class_name,suffix_0,suffix_7,suffix_12,suffix_17,suffix_20
horse_appaloosa,0.0000,0.0000,0.0000,0.0000,0.0000
horse_arabian,0.1061,0.0960,0.1125,0.1070,0.1058
horse_ardennes,0.0052,0.0037,0.0031,0.0015,0.0106
horse_belgian,0.0000,0.0000,0.0000,0.0000,0.0000
horse_dutchwarmblood,0.0008,0.0010,0.0099,0.0036,0.0021
horse_hungarianhalfbred,0.0000,0.0000,0.0000,0.0000,0.0000
horse_kentuckysaddle,0.0000,0.0000,0.0000,0.0000,0.0000
horse_missourifoxtrotter,0.0002,0.0002,0.0000,0.0001,0.0003
horse_morgan,0.0007,0.0012,0.0001,0.0000,0.0026
horse_mustang,0.0000,0.0000,0.0000,0.0000,0.0000
horse_nokota,N/A,0.0000,N/A,0.0000,N/A
horse_shire,0.0009,0.0000,0.0000,0.0000,0.0000
horse_suffolkpunch,0.0025,0.0013,0.0017,0.0011,0.0023
horse_tennesseewalker,0.0000,0.0000,0.0000,0.0000,0.0000
horse_thoroughbred,0.0000,0.0000,0.0010,0.0003,0.0006
horse_turkoman,0.0000,0.0000,0.0000,0.0000,0.0000
horsemule,0.0006,0.0011,0.0008,0.0007,0.0002
iguana,0.5001,0.5548,0.5334,0.5489,0.5655
javelina,0.1381,0.1531,0.1373,0.1628,0.1511
loon,0.0000,0.0000,0.0000,0.0000,0.0000
moose,0.2908,0.3403,0.2486,0.2990,0.3127
muskrat,0.0000,0.0000,0.0000,0.0000,0.0000
oriole,0.0000,0.0000,0.0000,0.0000,0.0000
owl,0.0027,0.0230,0.0479,0.0229,0.0009
ox,0.3995,0.3898,0.3540,0.3728,0.3937
panther,0.0000,0.0000,0.0000,0.0000,0.0000
parrot,0.0001,0.0019,0.0009,0.0008,0.0000
pelican,0.0000,0.0018,0.0006,0.0001,0.0008
pheasant,0.0000,0.0000,0.0000,0.0000,0.0000
pig,0.1381,0.0755,0.2000,0.2146,0.0605
pigeon,0.0055,0.0021,0.0124,0.0023,0.0236
possum,0.0016,0.0068,0.0073,0.0005,0.0000
prairiechicken,0.0000,0.0001,0.0006,0.0001,0.0001
pronghorn,0.0198,0.0037,0.0215,0.0099,0.0173
quail,0.0000,0.0000,0.0000,0.0000,0.0000
rabbit,0.0000,0.0000,0.0000,0.0000,0.0000
raccoon,0.0000,0.0000,0.0000,0.0000,0.0000
rat,0.0098,0.0606,0.0370,0.0405,0.0374
raven,0.0001,0.0000,0.0000,0.0015,0.0000
redfootedbooby,0.0000,0.0000,0.0000,0.0000,0.0000
robin,0.0000,0.0342,0.0141,0.0149,0.0000
rooster,0.4311,0.2914,0.4150,0.3679,0.2627
roseatespoonbill,0.5049,0.5655,0.4479,0.5125,0.4149
seagull,0.0011,0.0001,0.0000,0.0003,0.0000
sheep,0.2614,0.3512,0.2103,0.2523,0.3083
skunk,0.0000,0.0073,0.0014,0.0146,0.0000
snake,0.1417,0.0715,0.1095,0.0922,0.0969
snakeblacktailrattle,0.0000,0.0000,0.0000,0.0000,0.0000
snakeferdelance,0.0000,0.0000,0.0000,0.0004,0.0000
snakeredboa,0.0758,0.1554,0.1452,0.1203,0.1482
songbird,0.0034,0.0008,0.0018,0.0019,0.0033
sparrow,0.0000,0.0021,0.0000,0.0013,0.0000
squirrel,0.0000,0.0000,0.0000,0.0000,0.0000
toad,0.0000,0.0000,0.0000,0.0000,0.0000
turkey,0.0000,0.0000,0.0000,0.0000,0.0000
turtlesnapping,0.0000,0.0000,0.0000,0.0000,0.0000
vulture,0.0000,0.0005,0.0004,0.0012,0.0003
wolf,0.0003,0.0008,0.0005,0.0004,0.0004
woodpecker,0.0002,0.0000,0.0054,0.0024,0.0000
mIoU (animal classes only),0.0368,0.0425,0.0384,0.0381,0.0404
n_images_matched,1073,1073,1073,1073,1073
