Filename,mIoU_Animals_Only
o_1035808_7_semantic.png,0.0057
o_1034702_7_semantic.png,0.7797
o_1034854_12_semantic.png,0.0000
o_1035816_7_semantic.png,0.0736
o_1035698_7_semantic.png,0.0353
o_1035029_17_semantic.png,0.9196
o_1035734_17_semantic.png,0.1514
o_1035213_17_semantic.png,0.0000
o_1034520_0_semantic.png,0.0000
o_1034702_12_semantic.png,0.7868
o_1036275_12_semantic.png,0.6116
o_1035576_7_semantic.png,0.8686
o_1035016_17_semantic.png,0.0174
o_1035531_17_semantic.png,0.0000
o_1034551_7_semantic.png,0.0000
o_1035622_7_semantic.png,0.0000
o_1034738_20_semantic.png,0.0000
o_1035911_7_semantic.png,0.2647
o_1034851_20_semantic.png,0.0000
o_1035781_7_semantic.png,0.1074
o_1034936_7_semantic.png,0.0000
o_1035970_17_semantic.png,0.3376
o_1034959_0_semantic.png,0.4157
o_1035960_0_semantic.png,0.1079
o_1035619_17_semantic.png,0.0000
o_1035999_17_semantic.png,0.0314
o_1034947_0_semantic.png,0.0000
o_1018986_12_semantic.png,0.3013
o_1035094_7_semantic.png,0.3122
o_1035038_12_semantic.png,0.7835
o_1035408_20_semantic.png,0.0220
o_1034845_17_semantic.png,0.0000
o_1035158_0_semantic.png,0.0000
o_1035146_0_semantic.png,0.0000
o_1035964_20_semantic.png,0.3347
o_1036140_7_semantic.png,0.0000
o_1035873_12_semantic.png,0.0000
o_1014261_12_semantic.png,0.7405
o_1035207_20_semantic.png,0.0000
o_1035720_20_semantic.png,0.8193
o_1035310_12_semantic.png,0.2756
o_1035849_20_semantic.png,0.1871
o_1036214_7_semantic.png,0.0514
o_1034981_17_semantic.png,0.0000
o_1035432_12_semantic.png,0.4197
o_1034968_17_semantic.png,0.0000
o_1035263_7_semantic.png,0.8577
o_1034601_17_semantic.png,0.8961
o_1036265_0_semantic.png,0.0000
o_1034822_20_semantic.png,0.0000
o_1035148_17_semantic.png,0.0000
o_1035163_0_semantic.png,0.0000
